ID Year,Year,ID Detailed Occupation,Detailed Occupation,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2018,"2018","251000","Postsecondary teachers","true","true",6724,59736.036436644856,13083.421906545855,2013.1625588183904,72,"Architecture and Related Services","04"
2018,"2018","251000","Postsecondary teachers","true","true",90836,73643.77839182703,5300.9622719022855,7397.275387445163,973,"Physical Sciences","40"
2018,"2018","172051","Civil engineers","true","true",6725,106043.5366542751,15047.038857502255,2013.3122462933045,74,"Physical Sciences","40"
2018,"2018","151252","Software developers","true","true",29588,131480.08074219277,12273.87679058616,4222.693746553292,319,"Physical Sciences","40"
2018,"2018","1191XX","Other managers","true","true",58863,147313.55185770348,11797.154145358565,5955.393245787433,646,"Physical Sciences","40"
2018,"2018","251000","Postsecondary teachers","true","true",61044,73020.4674497084,6064.736541575389,6064.675533734387,633,"Math & Statistics","27"
2018,"2018","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",6070,112090.3550247117,24308.37860764402,1912.759148359766,67,"Math & Statistics","27"
2018,"2018","172051","Civil engineers","true","true",2900,102263.40896551724,23956.99552812493,1322.1159528408514,29,"Math & Statistics","27"
2018,"2018","151252","Software developers","true","true",43628,129794.42965526726,10653.084263428045,5127.362647903476,460,"Math & Statistics","27"
2018,"2018","1191XX","Other managers","true","true",31906,141272.7765937441,16007.792771475339,4384.949469627955,320,"Math & Statistics","27"
2018,"2018","251000","Postsecondary teachers","true","true",99631,82003.21160080697,6522.389753578766,7746.887490565805,999,"Engineering","14"
2018,"2018","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",313074,105216.16461603327,2799.240770121191,13722.810522074316,3266,"Engineering","14"
2018,"2018","172051","Civil engineers","true","true",237294,98013.17589993848,3181.073416225575,11950.146020828071,2435,"Engineering","14"
2018,"2018","151252","Software developers","true","true",344227,125284.31305504798,3324.566520921544,14387.875950074676,3230,"Engineering","14"
2018,"2018","1191XX","Other managers","true","true",294182,160508.31096056182,5481.347113256959,13303.16902035992,3003,"Engineering","14"
2018,"2018","251000","Postsecondary teachers","true","true",25579,75775.13362523945,10919.075698040628,3926.2629774455613,264,"Computer and Information Sciences and Support Services","11"
2018,"2018","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",22024,122135.50090810025,15486.093714313098,3643.265886303021,225,"Computer and Information Sciences and Support Services","11"
2018,"2018","172051","Civil engineers","true","true",4876,103354.76066447908,18773.622627458786,1714.3501310934573,53,"Computer and Information Sciences and Support Services","11"
2018,"2018","151252","Software developers","true","true",415548,118397.73169645865,2953.274108726311,15804.507424058474,3845,"Computer and Information Sciences and Support Services","11"
2018,"2018","1191XX","Other managers","true","true",87856,141578.3609656711,8649.555755765745,7274.997194718447,865,"Computer and Information Sciences and Support Services","11"
2018,"2018","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",22581,123098.63030866657,12012.589027091435,3689.0415297205413,242,"Physical Sciences","40"
2018,"2018","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",1254,85839.85645933014,31353.590333481345,869.4041432473624,18,"Architecture and Related Services","04"
2018,"2018","172051","Civil engineers","true","true",3010,98650.74318936878,38038.60111068582,1346.956699121736,33,"Architecture and Related Services","04"
2018,"2018","151252","Software developers","true","true",3235,101647.60710973725,18073.107822232152,1396.391519141956,36,"Architecture and Related Services","04"
2018,"2018","1191XX","Other managers","true","true",23724,127380.35436688585,17908.49595162866,3781.2401118169796,246,"Architecture and Related Services","04"
2017,"2017","251000","Postsecondary teachers","true","true",8122,62149.454321595666,15366.923640555557,2212.556203104732,83,"Architecture and Related Services","04"
2017,"2017","251000","Postsecondary teachers","true","true",101305,69711.24980997977,5685.74335810943,7811.6221447536345,1094,"Physical Sciences","40"
2017,"2017","172051","Civil engineers","true","true",5707,102236.84597862275,15456.557208866336,1854.6856226309023,59,"Physical Sciences","40"
2017,"2017","251000","Postsecondary teachers","true","true",62888,72484.73535491667,7150.82528282666,6155.5403735819355,660,"Math & Statistics","27"
2017,"2017","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",5264,129487.61341185411,34430.95204105828,1781.2503415816889,63,"Math & Statistics","27"
2017,"2017","172051","Civil engineers","true","true",2682,73003.54772557793,15315.571279256646,1271.452683570772,29,"Architecture and Related Services","04"
2017,"2017","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",2464,82988.90584415584,13445.308442287242,1218.6850631871753,19,"Architecture and Related Services","04"
2017,"2017","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",19613,127687.76841890583,13752.22234120839,3438.0955279228083,225,"Physical Sciences","40"
2017,"2017","172051","Civil engineers","true","true",3723,95629.4171367177,18829.57458470881,1498.0137641894476,38,"Computer and Information Sciences and Support Services","11"
2017,"2017","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",21210,111437.20367751061,11197.729039451324,3575.311712265029,203,"Computer and Information Sciences and Support Services","11"
2017,"2017","251000","Postsecondary teachers","true","true",31443,53115.423846325095,7386.973128089075,4353.018569582601,295,"Computer and Information Sciences and Support Services","11"
2017,"2017","172051","Civil engineers","true","true",242808,95181.58802428257,2986.3058278039575,12087.84907467435,2471,"Engineering","14"
2017,"2017","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",306019,104834.94855874962,2740.0429394812286,13567.462649468749,3136,"Engineering","14"
2017,"2017","251000","Postsecondary teachers","true","true",113901,70154.31089279287,5341.976173741482,8282.682733840553,1197,"Engineering","14"
2017,"2017","172051","Civil engineers","true","true",2277,95051.14273166447,44068.89102746641,1171.5286846898525,26,"Math & Statistics","27"
2016,"2016","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",4016,141625.37699203187,41476.40202182495,1555.8424353569146,50,"Math & Statistics","27"
2016,"2016","251000","Postsecondary teachers","true","true",63449,67918.09550977951,6465.56690250659,6182.902045549922,687,"Math & Statistics","27"
2016,"2016","172051","Civil engineers","true","true",6022,97039.45865161077,16780.614880918565,1905.1805538838034,58,"Physical Sciences","40"
2016,"2016","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",19994,112339.7678303491,12547.594838041063,3471.320706797259,215,"Physical Sciences","40"
2016,"2016","251000","Postsecondary teachers","true","true",103741,68831.40148061037,4887.995566884545,7904.874485083052,1085,"Physical Sciences","40"
2016,"2016","172051","Civil engineers","true","true",3041,82513.87043735613,15199.021522501294,1353.8745573646545,30,"Architecture and Related Services","04"
2016,"2016","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",1295,85760.13281853282,30216.286919284226,883.5023494193061,13,"Architecture and Related Services","04"
2016,"2016","251000","Postsecondary teachers","true","true",9166,65280.029020292386,12854.567465691862,2350.449880531957,93,"Architecture and Related Services","04"
2016,"2016","172051","Civil engineers","true","true",3982,110983.2129583124,39700.079911368615,1549.2426313183335,39,"Computer and Information Sciences and Support Services","11"
2016,"2016","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",19210,106400.86262363353,11332.09315036512,3402.590996935778,200,"Computer and Information Sciences and Support Services","11"
2016,"2016","251000","Postsecondary teachers","true","true",26386,66504.71117259153,9509.13747245892,3987.696764616318,252,"Computer and Information Sciences and Support Services","11"
2016,"2016","172051","Civil engineers","true","true",231534,95374.02476094224,2914.0028528820535,11804.18666183175,2367,"Engineering","14"
2016,"2016","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",296102,104501.4183018014,2857.198127660766,13346.049836402837,3058,"Engineering","14"
2016,"2016","251000","Postsecondary teachers","true","true",113169,62065.66054308158,4746.174741366781,8255.994808891515,1089,"Engineering","14"
2016,"2016","172051","Civil engineers","true","true",1813,88029.17981246553,34465.64449167861,1045.372215310982,16,"Math & Statistics","27"
2015,"2015","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",318781,99867.74544907005,2421.6649294217505,13846.427428666366,3231,"Engineering","14"
2015,"2015","172051","Civil engineers","true","true",1762,85729.45062429058,28629.094629686515,1030.5641783253836,18,"Architecture and Related Services","04"
2015,"2015","172051","Civil engineers","true","true",4409,102924.73871626219,19770.124844787315,1630.1896511196144,47,"Physical Sciences","40"
2015,"2015","251000","Postsecondary teachers","true","true",58468,70684.68962509406,6835.334311179986,5935.33623744213,625,"Math & Statistics","27"
2015,"2015","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",5291,120171.94764694765,35874.4647576902,1785.8115502647297,58,"Math & Statistics","27"
2015,"2015","172051","Civil engineers","true","true",2532,118061.6785150079,36275.666498488434,1235.3862841860105,22,"Math & Statistics","27"
2015,"2015","251000","Postsecondary teachers","true","true",112829,67562.65816412447,5090.252273777991,8243.54881386844,1124,"Engineering","14"
2015,"2015","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",20963,110537.45799742403,12813.62158365583,3554.4280791564447,219,"Physical Sciences","40"
2015,"2015","172051","Civil engineers","true","true",207631,93010.39421377347,3095.287554381952,11179.084307006262,2157,"Engineering","14"
2015,"2015","251000","Postsecondary teachers","true","true",29483,61751.901502560795,8982.394104211773,4215.178270684341,295,"Computer and Information Sciences and Support Services","11"
2015,"2015","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",18242,116826.21680736761,11456.59375183793,3315.7620785430913,181,"Computer and Information Sciences and Support Services","11"
2015,"2015","172051","Civil engineers","true","true",3270,84931.37706422019,19981.297828985007,1403.9242751095057,34,"Computer and Information Sciences and Support Services","11"
2015,"2015","251000","Postsecondary teachers","true","true",7266,76464.86168455821,20436.916299014236,2092.7215805650303,89,"Architecture and Related Services","04"
2015,"2015","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",1704,160032.42077464788,69252.79306307314,1013.4608431627361,15,"Architecture and Related Services","04"
2015,"2015","251000","Postsecondary teachers","true","true",99214,63978.21240953897,4615.355029410255,7730.560002069306,1023,"Physical Sciences","40"
2014,"2014","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",1891,99573.78476996298,42431.75488070895,1067.6222280162729,21,"Architecture and Related Services","04"
2014,"2014","251000","Postsecondary teachers","true","true",94274,65133.26186435284,4770.725474464477,7535.7297304782805,1001,"Physical Sciences","40"
2014,"2014","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",19338,106353.25773089254,10887.008769887774,3413.8993810431125,214,"Physical Sciences","40"
2014,"2014","172051","Civil engineers","true","true",4001,84326.10747313172,23171.620978161667,1552.9335226179421,42,"Physical Sciences","40"
2014,"2014","251000","Postsecondary teachers","true","true",59537,65167.44908208341,5906.722515295995,5989.304748844473,625,"Math & Statistics","27"
2014,"2014","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",3302,107678.8397940642,18752.990180599794,1410.7764506938506,42,"Math & Statistics","27"
2014,"2014","172051","Civil engineers","true","true",1519,77451.55628703094,21405.10359820729,956.8663969519001,20,"Math & Statistics","27"
2014,"2014","251000","Postsecondary teachers","true","true",98050,67384.1181336053,5287.4991586161805,7685.061009691868,1016,"Engineering","14"
2014,"2014","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",295265,97002.78162667435,2519.669963070704,13326.772690547285,2987,"Engineering","14"
2014,"2014","172051","Civil engineers","true","true",200433,90206.32459724696,2901.416029248798,10983.73635822197,1973,"Engineering","14"
2014,"2014","251000","Postsecondary teachers","true","true",23302,50292.91747489486,7200.51613001532,3747.4463564993416,232,"Computer and Information Sciences and Support Services","11"
2014,"2014","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",17957,111047.18689090606,13783.90940937888,3289.7580621807724,178,"Computer and Information Sciences and Support Services","11"
2014,"2014","172051","Civil engineers","true","true",3869,95357.80485913673,18108.144698668064,1527.1023930865106,42,"Computer and Information Sciences and Support Services","11"
2014,"2014","251000","Postsecondary teachers","true","true",8903,49428.31034482759,13967.087567077642,2316.483532215527,93,"Architecture and Related Services","04"
2014,"2014","172051","Civil engineers","true","true",3507,79630.89592244083,17058.721639847696,1453.9090303460102,32,"Architecture and Related Services","04"